facility__i_d,measure__i_d,value,footnote,start__date,end__date
50129,MSPB-1,1.061764,,01/01/2022,12/31/2022
50131,MSPB-1,0.921965,,01/01/2022,12/31/2022
50132,MSPB-1,1.192966,,01/01/2022,12/31/2022
50133,MSPB-1,0.987084,,01/01/2022,12/31/2022
50135,MSPB-1,1.213405,,01/01/2022,12/31/2022
50136,MSPB-1,1.025175,,01/01/2022,12/31/2022
50137,MSPB-1,0.885472,,01/01/2022,12/31/2022
50138,MSPB-1,1.016146,,01/01/2022,12/31/2022
50139,MSPB-1,0.969891,,01/01/2022,12/31/2022
50140,MSPB-1,0.968745,,01/01/2022,12/31/2022
50145,MSPB-1,0.932595,,01/01/2022,12/31/2022
50149,MSPB-1,0.962736,,01/01/2022,12/31/2022
50150,MSPB-1,0.930282,,01/01/2022,12/31/2022
50152,MSPB-1,1.062784,,01/01/2022,12/31/2022
50158,MSPB-1,1.111052,,01/01/2022,12/31/2022
50159,MSPB-1,0.970645,,01/01/2022,12/31/2022
50167,MSPB-1,0.993895,,01/01/2022,12/31/2022
50168,MSPB-1,1.050334,,01/01/2022,12/31/2022
50169,MSPB-1,0.972753,,01/01/2022,12/31/2022
50174,MSPB-1,0.999288,,01/01/2022,12/31/2022
50179,MSPB-1,0.935282,,01/01/2022,12/31/2022
50180,MSPB-1,0.987777,,01/01/2022,12/31/2022
50191,MSPB-1,1.077132,,01/01/2022,12/31/2022
50192,MSPB-1,1.174602,,01/01/2022,12/31/2022
50194,MSPB-1,0.944979,,01/01/2022,12/31/2022
50195,MSPB-1,0.991484,,01/01/2022,12/31/2022
50197,MSPB-1,0.959724,,01/01/2022,12/31/2022
50204,MSPB-1,1.039809,,01/01/2022,12/31/2022
50211,MSPB-1,0.995391,,01/01/2022,12/31/2022
50222,MSPB-1,0.949529,,01/01/2022,12/31/2022
50224,MSPB-1,0.999048,,01/01/2022,12/31/2022
50226,MSPB-1,1.064494,,01/01/2022,12/31/2022
50228,MSPB-1,0.950571,,01/01/2022,12/31/2022
50230,MSPB-1,1.108044,,01/01/2022,12/31/2022
50231,MSPB-1,0.957965,,01/01/2022,12/31/2022
50232,MSPB-1,0.944265,,01/01/2022,12/31/2022
50234,MSPB-1,0.876897,,01/01/2022,12/31/2022
50235,MSPB-1,1.024983,,01/01/2022,12/31/2022
50236,MSPB-1,0.990584,,01/01/2022,12/31/2022
50238,MSPB-1,1.141063,,01/01/2022,12/31/2022
50239,MSPB-1,1.073182,,01/01/2022,12/31/2022
50242,MSPB-1,1.0,,01/01/2022,12/31/2022
50243,MSPB-1,1.021153,,01/01/2022,12/31/2022
50245,MSPB-1,1.016426,,01/01/2022,12/31/2022
50248,MSPB-1,1.004835,,01/01/2022,12/31/2022
50254,MSPB-1,0.937907,,01/01/2022,12/31/2022
50257,MSPB-1,1.147816,,01/01/2022,12/31/2022
50261,MSPB-1,0.924485,,01/01/2022,12/31/2022
50262,MSPB-1,1.021385,,01/01/2022,12/31/2022
50272,MSPB-1,0.96998,,01/01/2022,12/31/2022
50276,MSPB-1,0.930259,,01/01/2022,12/31/2022
50278,MSPB-1,1.032336,,01/01/2022,12/31/2022
50279,MSPB-1,1.04385,,01/01/2022,12/31/2022
50280,MSPB-1,0.981178,,01/01/2022,12/31/2022
50281,MSPB-1,1.212542,,01/01/2022,12/31/2022
50283,MSPB-1,1.005688,,01/01/2022,12/31/2022
50289,MSPB-1,0.934192,,01/01/2022,12/31/2022
50290,MSPB-1,1.023497,,01/01/2022,12/31/2022
50291,MSPB-1,0.97318,,01/01/2022,12/31/2022
50292,MSPB-1,1.046901,,01/01/2022,12/31/2022
50295,MSPB-1,0.993515,,01/01/2022,12/31/2022
50298,MSPB-1,0.960889,,01/01/2022,12/31/2022
50300,MSPB-1,0.948885,,01/01/2022,12/31/2022
50301,MSPB-1,0.891736,,01/01/2022,12/31/2022
50305,MSPB-1,0.966068,,01/01/2022,12/31/2022
50308,MSPB-1,1.00559,,01/01/2022,12/31/2022
50309,MSPB-1,0.933164,,01/01/2022,12/31/2022
50313,MSPB-1,0.904173,,01/01/2022,12/31/2022
50315,MSPB-1,0.971679,,01/01/2022,12/31/2022
50320,MSPB-1,1.039418,,01/01/2022,12/31/2022
50324,MSPB-1,0.966699,,01/01/2022,12/31/2022
50327,MSPB-1,0.984584,,01/01/2022,12/31/2022
50329,MSPB-1,1.049794,,01/01/2022,12/31/2022
50334,MSPB-1,0.967383,,01/01/2022,12/31/2022
50335,MSPB-1,0.929505,,01/01/2022,12/31/2022
50336,MSPB-1,0.958053,,01/01/2022,12/31/2022
50342,MSPB-1,0.942414,,01/01/2022,12/31/2022
50348,MSPB-1,1.009435,,01/01/2022,12/31/2022
50350,MSPB-1,1.039842,,01/01/2022,12/31/2022
50351,MSPB-1,0.950468,,01/01/2022,12/31/2022
